	Dividends_x	Stock Splits	Date	Dividends_y	Holder_holder	Shares_holder	% Out_holder	Value_holder
0	0.315	0.0	2019-02-06	0.315				
1	0.315	0.0	2019-05-06	0.315				
2	0.315	0.0	2019-08-06	0.315				
3	0.315	0.0	2019-11-06	0.315				
4	0.33	0.0	2020-02-06	0.33				
5	0.33	0.0	2020-05-06	0.33				
6	0.33	0.0	2020-08-06	0.33				
7	0.33	0.0	2020-11-05	0.33				
8	0.348	0.0	2021-02-04	0.348				
9	0.348	0.0	2021-05-06	0.348				
10	0.348	0.0	2021-08-05	0.348				
11	0.348	0.0	2021-11-04	0.348				
12	0.365	0.0	2022-02-04	0.365				
13	0.365	0.0	2022-05-05	0.365				
14	0.365	0.0	2022-08-04	0.365				
15	0.365	0.0	2022-11-04	0.365				
16	0.365	0.0	2023-02-06	0.365				
17	0.125	0.0	2023-05-04	0.125				
18	0.125	0.0	2023-08-04	0.125				
19	0.125	0.0	2023-11-06	0.125				
20	0.125	0.0	2024-02-06	0.125				
21	0.125	0.0	2024-05-06	0.125				
22	0.125	0.0	2024-08-07	0.125				
23			2024-06-30		Vanguard Group Inc	393.49M	0.092	8227817208.0
24			2024-06-30		Blackrock Inc.	361.67M	0.08460000000000001	7562530455.0
25			2024-06-30		State Street Corporation	192.54M	0.045	4026031987.0
26			2024-06-30		Geode Capital Management, LLC	88.41M	0.0207	1848580842.0
27			2024-06-30		Primecap Management Company	77.82M	0.0182	1627270282.0
28			2024-06-30		Capital Research Global Investors	67.13M	0.015700000000000002	1403717542.0
29			2024-06-30		Norges Bank Investment Management	59.38M	0.0139	1241581424.0
30			2024-06-30		Morgan Stanley	55.24M	0.0129	1155141304.0
31			2024-06-30		UBS Asset Management Americas Inc	45.6M	0.010700000000000001	953581807.0
32			2024-06-30		Price (T.Rowe) Associates Inc	43.58M	0.0102	911185821.0
33			2024-06-30		Vanguard Total Stock Market Index Fund	134.49M	0.0315	2812284135.0
34			2024-06-30		Vanguard 500 Index Fund	109.26M	0.0256	2284607659.0
35			2024-06-30		Vanguard/Primecap Fund	47.05M	0.011000000000000001	983818587.0
36			2024-06-30		Vanguard Index-Value Index Fund	34.88M	0.008199999999999999	729443002.0
37			2024-08-31		Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF	82.18M	0.0192	1718463370.0
38			2024-08-31		SPDR S&P 500 ETF Trust	50.18M	0.011699999999999999	1049179817.0
39			2024-08-31		Select Sector SPDR Fund-Technology	30.89M	0.0072	645898980.0
40			2024-07-31		Fidelity 500 Index Fund	52.04M	0.012199999999999999	1088140374.0
41			2024-07-31		iShares Core S&P 500 ETF	46.07M	0.0108	963403360.0
42			2024-07-31		VanEck ETF Trust-VanEck Semiconductor ETF	33.06M	0.0077	691277924.0
